Extracted:,United Nations High Commissioner for Refugees
Date extracted:,14/02/2020 12:47:07
Last updated:,14/02/2020 12:47:07

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, December 2019
Country of origin:,"IRQ,SYR"
Country of asylum:,"AFG,BGD,KHM,CHN,HKG,MAC,FJI,IND,IDN,IRN,KAZ,KGZ,MYS,FSM,MNG,MMR,NRU,NPL,PAK,PLW,PNG,PHL,WSM,SGP,SLB,LKA,TJK,THA,TLS,TKM,UZB,VUT,VNM"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,IRQ,"Iraq",UZB,"Uzbekistan",CAN,"Canada",8
2003,IRQ,"Iraq",All others,"All others",DNK,"Denmark",14
2003,IRQ,"Iraq",THA,"Thailand",FIN,"Finland",1
2003,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2003,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",41
2003,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",42
2003,IRQ,"Iraq",NRU,"Nauru",AUS,"Australia",1
2003,IRQ,"Iraq",All others,"All others",FIN,"Finland",42
2003,IRQ,"Iraq",MYS,"Malaysia",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2003,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",11
2003,SYR,"Syrian Arab Rep.",IDN,"Indonesia",SWE,"Sweden",1
2003,IRQ,"Iraq",LKA,"Sri Lanka",DEU,"Germany",5
2003,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",4
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CHE,"Switzerland",1
2003,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",7
2003,IRQ,"Iraq",All others,"All others",FRA,"France",1
2003,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",30
2003,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",1
2003,SYR,"Syrian Arab Rep.",IDN,"Indonesia",USA,"United States of America",1
2003,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",55
2003,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2003,IRQ,"Iraq",LKA,"Sri Lanka",NOR,"Norway",9
2003,IRQ,"Iraq",All others,"All others",IRL,"Ireland",7
2003,IRQ,"Iraq",LKA,"Sri Lanka",SWE,"Sweden",2
2003,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",8
2003,IRQ,"Iraq",All others,"All others",ITA,"Italy",21
2003,IRQ,"Iraq",PAK,"Pakistan",SWE,"Sweden",3
2003,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",3
2003,IRQ,"Iraq",All others,"All others",AUS,"Australia",121
2003,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",6
2003,IRQ,"Iraq",THA,"Thailand",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2003,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",15
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",21
2004,IRQ,"Iraq",All others,"All others",SWE,"Sweden",133
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",2
2004,IRQ,"Iraq",THA,"Thailand",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2004,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",1
2004,IRQ,"Iraq",All others,"All others",AUS,"Australia",94
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",14
2004,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",7
2004,IRQ,"Iraq",All others,"All others",USA,"United States of America",2
2004,IRQ,"Iraq",MYS,"Malaysia",GBR,"United Kingdom of Great Britain and Northern Ireland",5
2004,IRQ,"Iraq",KHM,"Cambodia",CAN,"Canada",5
2004,IRQ,"Iraq",All others,"All others",BRA,"Brazil",170
2004,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",4
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2004,IRQ,"Iraq",PNG,"Papua New Guinea",AUS,"Australia",1
2004,IRQ,"Iraq",All others,"All others",CAN,"Canada",130
2004,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",15
2004,IRQ,"Iraq",All others,"All others",DEU,"Germany",30
2004,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",12
2004,IRQ,"Iraq",PAK,"Pakistan",CAN,"Canada",4
2004,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",6
2004,IRQ,"Iraq",LKA,"Sri Lanka",CAN,"Canada",5
2004,IRQ,"Iraq",All others,"All others",DNK,"Denmark",7
2004,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",11
2004,IRQ,"Iraq",IND,"India",CAN,"Canada",9
2004,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",42
2004,IRQ,"Iraq",All others,"All others",FIN,"Finland",26
2004,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",9
2004,IRQ,"Iraq",NRU,"Nauru",AUS,"Australia",11
2004,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2004,IRQ,"Iraq",PAK,"Pakistan",FIN,"Finland",7
2004,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",3
2004,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",39
2004,IRQ,"Iraq",PAK,"Pakistan",NLD,"Netherlands",7
2004,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",26
2004,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",1
2004,IRQ,"Iraq",All others,"All others",NOR,"Norway",16
2004,SYR,"Syrian Arab Rep.",IDN,"Indonesia",CAN,"Canada",1
2004,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",9
2005,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",7
2005,SYR,"Syrian Arab Rep.",THA,"Thailand",SWE,"Sweden",1
2005,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",33
2005,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",11
2005,IRQ,"Iraq",All others,"All others",POL,"Poland",1
2005,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",3
2005,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",7
2005,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",2
2005,IRQ,"Iraq",All others,"All others",SWE,"Sweden",165
2005,IRQ,"Iraq",MYS,"Malaysia",GBR,"United Kingdom of Great Britain and Northern Ireland",3
2005,IRQ,"Iraq",LKA,"Sri Lanka",AUS,"Australia",4
2005,IRQ,"Iraq",All others,"All others",USA,"United States of America",223
2005,IRQ,"Iraq",All others,"All others",AUS,"Australia",304
2005,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",15
2005,SYR,"Syrian Arab Rep.",PAK,"Pakistan",NLD,"Netherlands",8
2005,IRQ,"Iraq",All others,"All others",CAN,"Canada",143
2005,IRQ,"Iraq",THA,"Thailand",FIN,"Finland",8
2005,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",4
2005,IRQ,"Iraq",All others,"All others",DNK,"Denmark",8
2005,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",15
2005,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",NLD,"Netherlands",5
2005,IRQ,"Iraq",All others,"All others",FIN,"Finland",7
2005,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",2
2005,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",35
2005,SYR,"Syrian Arab Rep.",PAK,"Pakistan",SWE,"Sweden",8
2005,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",9
2005,IRQ,"Iraq",CHN,"China",NLD,"Netherlands",2
2005,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",32
2005,IRQ,"Iraq",LKA,"Sri Lanka",USA,"United States of America",4
2005,IRQ,"Iraq",All others,"All others",NOR,"Norway",7
2006,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2006,IRQ,"Iraq",IND,"India",SWE,"Sweden",1
2006,IRQ,"Iraq",All others,"All others",FIN,"Finland",1
2006,IRQ,"Iraq",PAK,"Pakistan",AUS,"Australia",7
2006,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",3
2006,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",2
2006,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",144
2006,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",11
2006,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",74
2006,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",4
2006,IRQ,"Iraq",NPL,"Nepal",USA,"United States of America",7
2006,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",30
2006,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",1
2006,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",6
2006,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2006,IRQ,"Iraq",All others,"All others",NOR,"Norway",13
2006,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",3
2006,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",5
2006,IRQ,"Iraq",All others,"All others",SWE,"Sweden",111
2006,IRQ,"Iraq",CHN,"China",FIN,"Finland",2
2006,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",1
2006,IRQ,"Iraq",THA,"Thailand",FIN,"Finland",1
2006,IRQ,"Iraq",All others,"All others",USA,"United States of America",171
2006,IRQ,"Iraq",KAZ,"Kazakhstan",USA,"United States of America",4
2006,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",2
2006,IRQ,"Iraq",NRU,"Nauru",IRL,"Ireland",2
2006,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2006,SYR,"Syrian Arab Rep.",THA,"Thailand",CAN,"Canada",1
2006,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",29
2006,IRQ,"Iraq",All others,"All others",AUS,"Australia",245
2006,IRQ,"Iraq",KGZ,"Kyrgyzstan",NLD,"Netherlands",4
2006,IRQ,"Iraq",NRU,"Nauru",NLD,"Netherlands",2
2006,SYR,"Syrian Arab Rep.",All others,"All others",BEL,"Belgium",1
2006,IRQ,"Iraq",All others,"All others",CAN,"Canada",59
2006,IRQ,"Iraq",KGZ,"Kyrgyzstan",NOR,"Norway",4
2006,IRQ,"Iraq",NRU,"Nauru",NZL,"New Zealand",2
2006,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",1
2006,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",2
2006,IRQ,"Iraq",All others,"All others",DNK,"Denmark",4
2006,IRQ,"Iraq",KGZ,"Kyrgyzstan",NZL,"New Zealand",4
2006,IRQ,"Iraq",NRU,"Nauru",SWE,"Sweden",1
2007,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",275
2007,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",19
2007,IRQ,"Iraq",IDN,"Indonesia",DNK,"Denmark",5
2007,IRQ,"Iraq",All others,"All others",IRL,"Ireland",19
2007,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",238
2007,IRQ,"Iraq",CHN,"China",USA,"United States of America",41
2007,IRQ,"Iraq",IDN,"Indonesia",FIN,"Finland",1
2007,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",10
2007,IRQ,"Iraq",THA,"Thailand",NZL,"New Zealand",1
2007,IRQ,"Iraq",All others,"All others",AUS,"Australia",1939
2007,IRQ,"Iraq",All others,"All others",NOR,"Norway",91
2007,IRQ,"Iraq",IND,"India",USA,"United States of America",1
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",9
2007,IRQ,"Iraq",THA,"Thailand",AUS,"Australia",9
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",11
2007,IRQ,"Iraq",All others,"All others",BRA,"Brazil",4
2007,IRQ,"Iraq",MYS,"Malaysia",NOR,"Norway",32
2007,IRQ,"Iraq",IDN,"Indonesia",GBR,"United Kingdom of Great Britain and Northern Ireland",15
2007,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",214
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",IRL,"Ireland",2
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",NZL,"New Zealand",64
2007,IRQ,"Iraq",All others,"All others",CAN,"Canada",1488
2007,IRQ,"Iraq",All others,"All others",SWE,"Sweden",841
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",MEX,"Mexico",15
2007,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",16
2007,IRQ,"Iraq",All others,"All others",DEU,"Germany",1
2007,IRQ,"Iraq",KAZ,"Kazakhstan",SWE,"Sweden",4
2007,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",30
2007,IRQ,"Iraq",All others,"All others",USA,"United States of America",15741
2007,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",36
2007,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",4
2007,IRQ,"Iraq",All others,"All others",DNK,"Denmark",66
2007,IRQ,"Iraq",THA,"Thailand",FIN,"Finland",4
2007,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",12
2007,SYR,"Syrian Arab Rep.",THA,"Thailand",NOR,"Norway",1
2007,IRQ,"Iraq",IDN,"Indonesia",USA,"United States of America",10
2007,IRQ,"Iraq",UZB,"Uzbekistan",NOR,"Norway",1
2007,IRQ,"Iraq",All others,"All others",ESP,"Spain",5
2007,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",12
2007,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",8
2007,IRQ,"Iraq",UZB,"Uzbekistan",SWE,"Sweden",6
2007,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",93
2007,IRQ,"Iraq",All others,"All others",FIN,"Finland",264
2007,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",11
2007,IRQ,"Iraq",CHN,"China",NOR,"Norway",2
2007,IRQ,"Iraq",All others,"All others",FRA,"France",4
2007,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",4
2007,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",1
2008,IRQ,"Iraq",LKA,"Sri Lanka",USA,"United States of America",6
2008,IRQ,"Iraq",PAK,"Pakistan",SWE,"Sweden",6
2008,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",2
2008,IRQ,"Iraq",CHN,"China",SWE,"Sweden",5
2008,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",16
2008,IRQ,"Iraq",All others,"All others",IRL,"Ireland",12
2008,IRQ,"Iraq",KGZ,"Kyrgyzstan",USA,"United States of America",5
2008,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",6
2008,IRQ,"Iraq",IND,"India",SWE,"Sweden",5
2008,IRQ,"Iraq",All others,"All others",LIE,"Liechtenstein",4
2008,IRQ,"Iraq",THA,"Thailand",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2008,IRQ,"Iraq",All others,"All others",AUS,"Australia",2276
2008,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",72
2008,SYR,"Syrian Arab Rep.",IND,"India",SWE,"Sweden",5
2008,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",6
2008,IRQ,"Iraq",TJK,"Tajikistan",SWE,"Sweden",2
2008,IRQ,"Iraq",All others,"All others",LUX,"Luxembourg",17
2008,IRQ,"Iraq",All others,"All others",CAN,"Canada",2677
2008,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",1
2008,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",10
2008,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",4
2008,SYR,"Syrian Arab Rep.",THA,"Thailand",NLD,"Netherlands",1
2008,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",160
2008,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",28
2008,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",5
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",NOR,"Norway",3
2008,IRQ,"Iraq",IND,"India",USA,"United States of America",6
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",28
2008,IRQ,"Iraq",THA,"Thailand",AUS,"Australia",1
2008,IRQ,"Iraq",All others,"All others",NOR,"Norway",284
2008,IRQ,"Iraq",IDN,"Indonesia",SWE,"Sweden",6
2008,IRQ,"Iraq",All others,"All others",DNK,"Denmark",32
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",6
2008,IRQ,"Iraq",CHN,"China",DNK,"Denmark",6
2008,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",129
2008,IRQ,"Iraq",All others,"All others",FIN,"Finland",428
2008,IRQ,"Iraq",IND,"India",CAN,"Canada",11
2008,IRQ,"Iraq",All others,"All others",PRT,"Portugal",5
2008,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",4
2008,IRQ,"Iraq",LKA,"Sri Lanka",FRA,"France",4
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CHE,"Switzerland",7
2008,IRQ,"Iraq",IDN,"Indonesia",CAN,"Canada",4
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",NLD,"Netherlands",14
2008,IRQ,"Iraq",IDN,"Indonesia",NZL,"New Zealand",12
2008,IRQ,"Iraq",All others,"All others",SWE,"Sweden",496
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",DNK,"Denmark",8
2008,IRQ,"Iraq",THA,"Thailand",FIN,"Finland",4
2008,IRQ,"Iraq",All others,"All others",USA,"United States of America",25636
2008,SYR,"Syrian Arab Rep.",UZB,"Uzbekistan",USA,"United States of America",1
2008,IRQ,"Iraq",All others,"All others",FRA,"France",347
2008,IRQ,"Iraq",MYS,"Malaysia",NZL,"New Zealand",1
2008,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",10
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",ESP,"Spain",2
2008,IRQ,"Iraq",UZB,"Uzbekistan",USA,"United States of America",4
2008,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",17
2008,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",761
2009,IRQ,"Iraq",TJK,"Tajikistan",CAN,"Canada",2
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",SWE,"Sweden",1
2009,IRQ,"Iraq",All others,"All others",FRA,"France",44
2009,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",11
2009,IRQ,"Iraq",TJK,"Tajikistan",NLD,"Netherlands",2
2009,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",822
2009,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",38
2009,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",4
2009,IRQ,"Iraq",All others,"All others",ITA,"Italy",212
2009,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",4
2009,IRQ,"Iraq",TJK,"Tajikistan",USA,"United States of America",2
2009,IRQ,"Iraq",All others,"All others",AUS,"Australia",1518
2009,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",13
2009,IRQ,"Iraq",CHN,"China",USA,"United States of America",1
2009,IRQ,"Iraq",All others,"All others",LUX,"Luxembourg",22
2009,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2009,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",2
2009,IRQ,"Iraq",All others,"All others",BEL,"Belgium",64
2009,IRQ,"Iraq",IND,"India",AUS,"Australia",1
2009,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",274
2009,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",7
2009,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",2
2009,IRQ,"Iraq",All others,"All others",CAN,"Canada",1974
2009,IRQ,"Iraq",All others,"All others",NOR,"Norway",273
2009,IRQ,"Iraq",IND,"India",USA,"United States of America",9
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",AUS,"Australia",24
2009,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",30
2009,IRQ,"Iraq",UZB,"Uzbekistan",CHE,"Switzerland",1
2009,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",45
2009,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",10
2009,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",68
2009,IRQ,"Iraq",UZB,"Uzbekistan",FIN,"Finland",1
2009,IRQ,"Iraq",All others,"All others",DEU,"Germany",3582
2009,IRQ,"Iraq",IND,"India",CAN,"Canada",3
2009,IRQ,"Iraq",All others,"All others",PRT,"Portugal",11
2009,IRQ,"Iraq",MYS,"Malaysia",SWE,"Sweden",3
2009,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",9
2009,IRQ,"Iraq",All others,"All others",DNK,"Denmark",19
2009,IRQ,"Iraq",THA,"Thailand",SWE,"Sweden",1
2009,IRQ,"Iraq",All others,"All others",SWE,"Sweden",1037
2009,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",DNK,"Denmark",4
2009,IRQ,"Iraq",All others,"All others",ESP,"Spain",1
2009,IRQ,"Iraq",All others,"All others",USA,"United States of America",25556
2009,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",2
2009,IRQ,"Iraq",All others,"All others",FIN,"Finland",477
2009,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",1
2010,IRQ,"Iraq",All others,"All others",DEU,"Germany",168
2010,IRQ,"Iraq",All others,"All others",USA,"United States of America",22054
2010,IRQ,"Iraq",All others,"All others",DNK,"Denmark",7
2010,IRQ,"Iraq",PAK,"Pakistan",SWE,"Sweden",2
2010,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",19
2010,IRQ,"Iraq",MYS,"Malaysia",DNK,"Denmark",1
2010,IRQ,"Iraq",MYS,"Malaysia",AUS,"Australia",19
2010,IRQ,"Iraq",All others,"All others",FIN,"Finland",279
2010,SYR,"Syrian Arab Rep.",All others,"All others",FRA,"France",3
2010,IRQ,"Iraq",THA,"Thailand",USA,"United States of America",25
2010,IRQ,"Iraq",All others,"All others",FRA,"France",11
2010,IRQ,"Iraq",NPL,"Nepal",USA,"United States of America",2
2010,SYR,"Syrian Arab Rep.",All others,"All others",IRL,"Ireland",1
2010,IRQ,"Iraq",THA,"Thailand",DNK,"Denmark",3
2010,IRQ,"Iraq",MYS,"Malaysia",NLD,"Netherlands",1
2010,IRQ,"Iraq",MYS,"Malaysia",FIN,"Finland",1
2010,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",311
2010,IRQ,"Iraq",MYS,"Malaysia",USA,"United States of America",11
2010,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",4
2010,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2010,IRQ,"Iraq",CHN,"China",USA,"United States of America",15
2010,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",1
2010,IRQ,"Iraq",UZB,"Uzbekistan",CAN,"Canada",1
